23.330000,123.980000
23.326173,123.978125
23.317670,123.973958
23.309167,123.969792
23.300663,123.965625
23.292160,123.961458
23.283656,123.957292
23.275153,123.953125
23.266650,123.948958
23.258146,123.944792
23.249643,123.940625
23.241139,123.936458
23.232636,123.932292
23.224133,123.928125
23.215629,123.923958
23.207126,123.919792
23.198622,123.915625
23.190119,123.911458
23.181616,123.907292
23.173112,123.903125
23.164609,123.898958
23.156105,123.894792
23.147602,123.890625
23.139099,123.886458
23.130595,123.882292
23.122092,123.878125
23.113588,123.873958
23.105085,123.869792
23.096582,123.865625
23.088078,123.861458
23.079575,123.857292
23.071071,123.853125
23.062568,123.848958
23.054065,123.844792
23.045561,123.840625
23.037058,123.836458
23.028554,123.832292
23.020051,123.828125
23.011548,123.823958
23.003044,123.819792
22.994541,123.815625
22.986037,123.811458
22.977534,123.807292
22.969031,123.803125
22.960527,123.798958
22.952024,123.794792
22.943520,123.790625
22.935017,123.786458
22.926514,123.782292
22.918010,123.778125
22.909507,123.773958
22.901003,123.769792
22.892500,123.765625
22.883997,123.761458
22.875493,123.757292
22.866990,123.753125
22.858486,123.748958
22.849983,123.744792
22.841480,123.740625
22.832976,123.736458
22.824473,123.732292
22.815969,123.728125
22.807466,123.723958
22.798963,123.719792
22.790459,123.715625
22.781956,123.711458
22.773452,123.707292
22.764949,123.703125
22.756446,123.698958
22.747942,123.694792
22.739439,123.690625
22.730935,123.686458
22.722432,123.682292
22.713929,123.678125
22.705425,123.673958
22.696922,123.669792
22.688418,123.665625
22.679915,123.661458
22.671412,123.657292
22.662908,123.653125
22.654405,123.648958
22.645901,123.644792
22.637398,123.640625
22.628895,123.636458
22.620391,123.632292
22.611888,123.628125
22.603384,123.623958
22.594881,123.619792
22.586378,123.615625
22.577874,123.611458
22.569371,123.607292
22.560867,123.603125
22.552364,123.598958
22.543861,123.594792
22.535357,123.590625
22.526854,123.586458
22.518350,123.582292
22.509847,123.578125
22.501344,123.573958
22.492840,123.569792
22.484337,123.565625
22.475833,123.561458
22.467330,123.557292
22.458827,123.553125
22.450323,123.548958
22.441820,123.544792
22.433316,123.540625
22.424813,123.536458
22.416310,123.532292
22.407806,123.528125
22.399303,123.523958
22.390799,123.519792
22.382296,123.515625
22.373793,123.511458
22.365289,123.507292
22.356786,123.503125
22.348282,123.498958
22.339779,123.494792
22.331276,123.490625
22.322772,123.486458
22.314269,123.482292
22.305765,123.478125
22.297262,123.473958
22.288759,123.469792
22.280255,123.465625
22.271752,123.461458
22.263248,123.457292
22.254745,123.453125
22.246241,123.448958
22.237738,123.444792
22.229235,123.440625
22.220731,123.436458
22.212228,123.432292
22.203724,123.428125
22.195221,123.423958
22.186718,123.419792
22.178214,123.415625
22.169711,123.411458
22.161207,123.407292
22.152704,123.403125
22.144201,123.398958
22.135697,123.394792
22.127194,123.390625
22.118690,123.386458
22.110187,123.382292
22.101684,123.378125
22.093180,123.373958
22.084677,123.369792
22.076173,123.365625
22.067670,123.361458
22.059167,123.357292
22.050663,123.353125
22.042160,123.348958
22.033656,123.344792
22.025153,123.340625
22.016650,123.336458
22.008146,123.332292
21.999643,123.328125
21.991139,123.323958
21.982636,123.319792
21.974133,123.315625
21.965629,123.311458
21.957126,123.307292
21.948622,123.303125
21.940119,123.298958
21.931616,123.294792
21.923112,123.290625
21.914609,123.286458
21.906105,123.282292
21.897602,123.278125
21.889099,123.273958
21.880595,123.269792
21.872092,123.265625
21.863588,123.261458
21.855085,123.257292
21.846582,123.253125
21.838078,123.248958
21.829575,123.244792
21.821071,123.240625
21.812568,123.236458
21.804065,123.232292
21.795561,123.228125
21.787058,123.223958
21.778554,123.219792
21.770051,123.215625
21.761548,123.211458
21.753044,123.207292
21.744541,123.203125
21.736037,123.198958
21.727534,123.194792
21.719031,123.190625
21.710527,123.186458
21.702024,123.182292
21.693520,123.178125
21.685017,123.173958
21.676514,123.169792
21.668010,123.165625
21.659507,123.161458
21.651003,123.157292
21.642500,123.153125
21.633997,123.148958
21.625493,123.144792
21.616990,123.140625
21.608486,123.136458
21.599983,123.132292
21.591480,123.128125
21.582976,123.123958
21.574473,123.119792
21.565969,123.115625
21.557466,123.111458
21.548963,123.107292
21.540459,123.103125
21.531956,123.098958
21.523452,123.094792
21.514949,123.090625
21.506446,123.086458
21.497942,123.082292
21.489439,123.078125
21.480935,123.073958
21.472432,123.069792
21.463929,123.065625
21.455425,123.061458
21.446922,123.057292
21.438418,123.053125
21.429915,123.048958
21.421412,123.044792
21.412908,123.040625
21.404405,123.036458
21.395901,123.032292
21.387398,123.028125
21.378895,123.023958
21.370391,123.019792
21.361888,123.015625
21.353384,123.011458
21.344881,123.007292
21.336378,123.003125
